Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
白石英,白石英,白石英，珠子，水晶，直徑 6mm／8mm／10mm。,Pearl Pearl,aa-6-3,水晶,"diy:bead, 珠子, 水晶, cat:水晶",TRUE,Active,bsy_cysl_6,,尺寸,6mm,,,,,,,,69,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,https://raw.githubusercontent.com/MorningJet/Pearl/main/%E7%99%BD%E7%9F%B3%E8%8B%B1.png,1,白石英,,FALSE,白石英｜Pearl Pearl DIY,白石英，珠子，水晶，直徑 6mm／8mm／10mm。,,,,,,,,,,,,,,
,白石英,,,,,,,,bsy_cysl_8,,,8mm,,,,,,,,89,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,白石英,,,,,,,,bsy_cysl_10,,,10mm,,,,,,,,99,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
奶油藍,奶油藍,奶油藍，珠子，礦石，直徑 6mm／8mm／10mm。,Pearl Pearl,aa-6-3,礦石,"diy:bead, 珠子, 礦石, cat:礦石",TRUE,Active,nyl_stn_6,,尺寸,6mm,,,,,,,,69,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,https://raw.githubusercontent.com/MorningJet/Pearl/main/%E5%A5%B6%E6%B2%B9%E8%97%8D.png,1,奶油藍,,FALSE,奶油藍｜Pearl Pearl DIY,奶油藍，珠子，礦石，直徑 6mm／8mm／10mm。,,,,,,,,,,,,,,
,奶油藍,,,,,,,,nyl_stn_8,,,8mm,,,,,,,,89,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,奶油藍,,,,,,,,nyl_stn_10,,,10mm,,,,,,,,99,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
蜜桃粉晶,蜜桃粉晶,蜜桃粉晶，珠子，水晶，直徑 6mm／8mm／10mm。,Pearl Pearl,aa-6-3,水晶,"diy:bead, 珠子, 水晶, cat:水晶",TRUE,Active,mtfj_cysl_6,,尺寸,6mm,,,,,,,,69,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,https://raw.githubusercontent.com/MorningJet/Pearl/main/%E8%9C%9C%E6%A1%83%E7%B2%89%E6%99%B6.png,1,蜜桃粉晶,,FALSE,蜜桃粉晶｜Pearl Pearl DIY,蜜桃粉晶，珠子，水晶，直徑 6mm／8mm／10mm。,,,,,,,,,,,,,,
,蜜桃粉晶,,,,,,,,mtfj_cysl_8,,,8mm,,,,,,,,89,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,蜜桃粉晶,,,,,,,,mtfj_cysl_10,,,10mm,,,,,,,,99,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
綠葡萄石,綠葡萄石,綠葡萄石，珠子，礦石，直徑 6mm／8mm／10mm。,Pearl Pearl,aa-6-3,礦石,"diy:bead, 珠子, 礦石, cat:礦石",TRUE,Active,lpts_stn_6,,尺寸,6mm,,,,,,,,69,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,https://raw.githubusercontent.com/MorningJet/Pearl/main/%E7%B6%A0%E8%91%A1%E8%90%84%E7%9F%B3.png,1,綠葡萄石,,FALSE,綠葡萄石｜Pearl Pearl DIY,綠葡萄石，珠子，礦石，直徑 6mm／8mm／10mm。,,,,,,,,,,,,,,
,綠葡萄石,,,,,,,,lpts_stn_8,,,8mm,,,,,,,,89,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,綠葡萄石,,,,,,,,lpts_stn_10,,,10mm,,,,,,,,99,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
藍月光,藍月光,藍月光，珠子，礦石，直徑 6mm／8mm／10mm。,Pearl Pearl,aa-6-3,礦石,"diy:bead, 珠子, 礦石, cat:礦石",TRUE,Active,lyg_stn_6,,尺寸,6mm,,,,,,,,69,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,https://raw.githubusercontent.com/MorningJet/Pearl/main/%E8%97%8D%E6%9C%88%E5%85%89.png,1,藍月光,,FALSE,藍月光｜Pearl Pearl DIY,藍月光，珠子，礦石，直徑 6mm／8mm／10mm。,,,,,,,,,,,,,,
,藍月光,,,,,,,,lyg_stn_8,,,8mm,,,,,,,,89,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,藍月光,,,,,,,,lyg_stn_10,,,10mm,,,,,,,,99,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
閃白石,閃白石,閃白石，珠子，礦石，直徑 6mm／8mm／10mm。,Pearl Pearl,aa-6-3,礦石,"diy:bead, 珠子, 礦石, cat:礦石",TRUE,Active,sbs_stn_6,,尺寸,6mm,,,,,,,,69,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,https://raw.githubusercontent.com/MorningJet/Pearl/main/%E9%96%83%E7%99%BD%E7%9F%B3.png,1,閃白石,,FALSE,閃白石｜Pearl Pearl DIY,閃白石，珠子，礦石，直徑 6mm／8mm／10mm。,,,,,,,,,,,,,,
,閃白石,,,,,,,,sbs_stn_8,,,8mm,,,,,,,,89,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,閃白石,,,,,,,,sbs_stn_10,,,10mm,,,,,,,,99,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
五棱银钻,五棱银钻,五棱银钻，配件，隔珠，直徑 5mm。,Pearl Pearl,aa-6-3,隔珠,"diy:accessory, 配件, 隔珠, cat:隔珠",TRUE,Active,wlyz_spc_5,,尺寸,5mm,,,,,,,,59,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,https://raw.githubusercontent.com/MorningJet/Pearl/main/%E4%BA%94%E6%A3%B1%E9%93%B6%E9%92%BB.png,1,五棱银钻,,FALSE,五棱银钻｜Pearl Pearl DIY,五棱银钻，配件，隔珠，直徑 5mm。,,,,,,,,,,,,,,
锆石星星,锆石星星,锆石星星，配件，吊墜，直徑 2mm。,Pearl Pearl,aa-6-3,吊墜,"diy:accessory, 配件, 吊墜, cat:吊墜",TRUE,Active,gsxx_pnd_2,,尺寸,2mm,,,,,,,,99,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,https://raw.githubusercontent.com/MorningJet/Pearl/main/%E9%94%86%E7%9F%B3%E6%98%9F%E6%98%9F.png,1,锆石星星,,FALSE,锆石星星｜Pearl Pearl DIY,锆石星星，配件，吊墜，直徑 2mm。,,,,,,,,,,,,,,
寻心钥匙,寻心钥匙,寻心钥匙，配件，吊墜，直徑 2mm。,Pearl Pearl,aa-6-3,吊墜,"diy:accessory, 配件, 吊墜, cat:吊墜",TRUE,Active,xxys_pnd_2,,尺寸,2mm,,,,,,,,99,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,https://raw.githubusercontent.com/MorningJet/Pearl/main/%E5%AF%BB%E5%BF%83%E9%92%A5%E5%8C%99.png,1,寻心钥匙,,FALSE,寻心钥匙｜Pearl Pearl DIY,寻心钥匙，配件，吊墜，直徑 2mm。,,,,,,,,,,,,,,
白水鱼尾,白水鱼尾,白水鱼尾，配件，吊墜，直徑 2mm。,Pearl Pearl,aa-6-3,吊墜,"diy:accessory, 配件, 吊墜, cat:吊墜",TRUE,Active,bsyw_pnd_2,,尺寸,2mm,,,,,,,,99,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,https://raw.githubusercontent.com/MorningJet/Pearl/main/%E7%99%BD%E6%B0%B4%E9%B1%BC%E5%B0%BE.png,1,白水鱼尾,,FALSE,白水鱼尾｜Pearl Pearl DIY,白水鱼尾，配件，吊墜，直徑 2mm。,,,,,,,,,,,,,,
转运柄,转运柄,转运柄，配件，隔珠，直徑 8mm。,Pearl Pearl,aa-6-3,隔珠,"diy:accessory, 配件, 隔珠, cat:隔珠",TRUE,Active,zyb_spc_8,,尺寸,8mm,,,,,,,,59,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,https://raw.githubusercontent.com/MorningJet/Pearl/main/%E8%BD%AC%E8%BF%90%E6%9F%84.png,1,转运柄,,FALSE,转运柄｜Pearl Pearl DIY,转运柄，配件，隔珠，直徑 8mm。,,,,,,,,,,,,,,
恶魔之眼,恶魔之眼,恶魔之眼，配件，隔珠，直徑 6mm。,Pearl Pearl,aa-6-3,隔珠,"diy:accessory, 配件, 隔珠, cat:隔珠",TRUE,Active,emzy_spc_6,,尺寸,6mm,,,,,,,,59,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,https://raw.githubusercontent.com/MorningJet/Pearl/main/%E6%81%B6%E9%AD%94%E4%B9%8B%E7%9C%BC.png,1,恶魔之眼,,FALSE,恶魔之眼｜Pearl Pearl DIY,恶魔之眼，配件，隔珠，直徑 6mm。,,,,,,,,,,,,,,
扭纹小环,扭纹小环,扭纹小环，配件，隔珠，直徑 5mm。,Pearl Pearl,aa-6-3,隔珠,"diy:accessory, 配件, 隔珠, cat:隔珠",TRUE,Active,nwxh_spc_5,,尺寸,5mm,,,,,,,,59,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,https://raw.githubusercontent.com/MorningJet/Pearl/main/%E6%89%AD%E7%BA%B9%E5%B0%8F%E7%8E%AF.png,1,扭纹小环,,FALSE,扭纹小环｜Pearl Pearl DIY,扭纹小环，配件，隔珠，直徑 5mm。,,,,,,,,,,,,,,
星星奖章,星星奖章,星星奖章，配件，吊墜，直徑 2mm。,Pearl Pearl,aa-6-3,吊墜,"diy:accessory, 配件, 吊墜, cat:吊墜",TRUE,Active,xxjz_pnd_2,,尺寸,2mm,,,,,,,,99,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,https://raw.githubusercontent.com/MorningJet/Pearl/main/%E6%98%9F%E6%98%9F%E5%A5%96%E7%AB%A0.png,1,星星奖章,,FALSE,星星奖章｜Pearl Pearl DIY,星星奖章，配件，吊墜，直徑 2mm。,,,,,,,,,,,,,,
粉樱花,粉樱花,粉樱花，配件，隔珠，直徑 6mm。,Pearl Pearl,aa-6-3,隔珠,"diy:accessory, 配件, 隔珠, cat:隔珠",TRUE,Active,fyh_spc_6,,尺寸,6mm,,,,,,,,59,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,https://raw.githubusercontent.com/MorningJet/Pearl/main/%E7%B2%89%E6%A8%B1%E8%8A%B1.png,1,粉樱花,,FALSE,粉樱花｜Pearl Pearl DIY,粉樱花，配件，隔珠，直徑 6mm。,,,,,,,,,,,,,,
锆石花形钻,锆石花形钻,锆石花形钻，配件，隔珠，直徑 6mm。,Pearl Pearl,aa-6-3,隔珠,"diy:accessory, 配件, 隔珠, cat:隔珠",TRUE,Active,gshxz_spc_6,,尺寸,6mm,,,,,,,,59,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,https://raw.githubusercontent.com/MorningJet/Pearl/main/%E9%94%86%E7%9F%B3%E8%8A%B1%E5%BD%A2%E9%92%BB.png,1,锆石花形钻,,FALSE,锆石花形钻｜Pearl Pearl DIY,锆石花形钻，配件，隔珠，直徑 6mm。,,,,,,,,,,,,,,
藍紋瑪瑙,藍紋瑪瑙,藍紋瑪瑙，珠子，瑪瑙，直徑 6mm／8mm／10mm。,Pearl Pearl,aa-6-3,瑪瑙,"diy:bead, 珠子, 瑪瑙, cat:瑪瑙",TRUE,Active,lwmn_agt_6,,尺寸,6mm,,,,,,,,69,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,https://raw.githubusercontent.com/MorningJet/Pearl/main/%E8%97%8D%E7%B4%8B%E7%91%AA%E7%91%99.png,1,藍紋瑪瑙,,FALSE,藍紋瑪瑙｜Pearl Pearl DIY,藍紋瑪瑙，珠子，瑪瑙，直徑 6mm／8mm／10mm。,,,,,,,,,,,,,,
,藍紋瑪瑙,,,,,,,,lwmn_agt_8,,,8mm,,,,,,,,89,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,藍紋瑪瑙,,,,,,,,lwmn_agt_10,,,10mm,,,,,,,,99,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
锆石切割,锆石切割,锆石切割，配件，隔珠，直徑 5mm。,Pearl Pearl,aa-6-3,隔珠,"diy:accessory, 配件, 隔珠, cat:隔珠",TRUE,Active,gsqg_spc_5,,尺寸,5mm,,,,,,,,59,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,https://raw.githubusercontent.com/MorningJet/Pearl/main/%E9%94%86%E7%9F%B3%E5%88%87%E5%89%B2.png,1,锆石切割,,FALSE,锆石切割｜Pearl Pearl DIY,锆石切割，配件，隔珠，直徑 5mm。,,,,,,,,,,,,,,
交织戒,交织戒,交织戒，配件，隔珠，直徑 6mm。,Pearl Pearl,aa-6-3,隔珠,"diy:accessory, 配件, 隔珠, cat:隔珠",TRUE,Active,jzj_spc_6,,尺寸,6mm,,,,,,,,59,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,https://raw.githubusercontent.com/MorningJet/Pearl/main/%E4%BA%A4%E7%BB%87%E6%88%92.png,1,交织戒,,FALSE,交织戒｜Pearl Pearl DIY,交织戒，配件，隔珠，直徑 6mm。,,,,,,,,,,,,,,
锆石晨星,锆石晨星,锆石晨星，配件，吊墜，直徑 2mm。,Pearl Pearl,aa-6-3,吊墜,"diy:accessory, 配件, 吊墜, cat:吊墜",TRUE,Active,gscx_pnd_2,,尺寸,2mm,,,,,,,,99,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,https://raw.githubusercontent.com/MorningJet/Pearl/main/%E9%94%86%E7%9F%B3%E6%99%A8%E6%98%9F.png,1,锆石晨星,,FALSE,锆石晨星｜Pearl Pearl DIY,锆石晨星，配件，吊墜，直徑 2mm。,,,,,,,,,,,,,,
藏银十字架,藏银十字架,藏银十字架，配件，隔珠，直徑 8mm。,Pearl Pearl,aa-6-3,隔珠,"diy:accessory, 配件, 隔珠, cat:隔珠",TRUE,Active,cyszj_spc_8,,尺寸,8mm,,,,,,,,59,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,https://raw.githubusercontent.com/MorningJet/Pearl/main/%E8%97%8F%E9%93%B6%E5%8D%81%E5%AD%97%E6%9E%B6.png,1,藏银十字架,,FALSE,藏银十字架｜Pearl Pearl DIY,藏银十字架，配件，隔珠，直徑 8mm。,,,,,,,,,,,,,,
锆石切割双层,锆石切割双层,锆石切割双层，配件，隔珠，直徑 6mm。,Pearl Pearl,aa-6-3,隔珠,"diy:accessory, 配件, 隔珠, cat:隔珠",TRUE,Active,gsqgsc_spc_6,,尺寸,6mm,,,,,,,,59,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,https://raw.githubusercontent.com/MorningJet/Pearl/main/%E9%94%86%E7%9F%B3%E5%88%87%E5%89%B2%E5%8F%8C%E5%B1%82.png,1,锆石切割双层,,FALSE,锆石切割双层｜Pearl Pearl DIY,锆石切割双层，配件，隔珠，直徑 6mm。,,,,,,,,,,,,,,
